time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.0290353238e-07,-2.89961523136e-08,10.0076019203,6.28282177486,0.000242000037812,0.0,-2.64639503142e-05,-1.84530805571e-05,0.253374929092,-0.0223337124462,0.0110778295807,0.0,482.1167360766145,482.9527901865184,484.5480573630471,482.8665507475282
0.12000000000000001,-1.0386196213e-05,-1.55131858443e-05,10.0286849586,6.2810845581,0.000741221049033,0.0,-0.000378034507084,-0.000670363356331,0.449335703099,-0.0474454066119,0.00213946634979,0.0,466.70841356053876,466.0102518257993,467.5146736636435,465.5539783301896
0.18,-5.4503734237e-05,-0.000119271912431,10.0621321409,6.27810631239,0.00236822486958,0.0,-0.00122416411319,-0.00313468950461,0.665468009313,-0.0544259194034,0.0543512766491,0.0,470.6777693472473,474.70087631275265,472.69084274186577,472.1512870414632
0.23999999999999996,-0.000197316286915,-0.000439589972571,10.1077591237,6.27523652574,0.00555752484442,0.0,-0.00390790883173,-0.00789271772817,0.855304932406,-0.0371333397793,0.0506491661866,0.0,464.62372475321376,464.3351481954008,464.8784638020139,466.22994496961275
0.3,-0.000565877324777,-0.00109639714028,10.1633233718,6.27276532897,0.00862599163001,0.0,-0.00870700603718,-0.0142522621242,0.996719256064,-0.0508610204777,0.0521069451247,0.0,449.79614940686963,449.91581431214996,451.9370266537096,450.8284224366723
0.36000000000000004,-0.00133883125586,-0.00225010543729,10.2326932487,6.27005411458,0.0116546859623,0.0,-0.0174690484246,-0.0245857922243,1.31529077224,-0.0357457153645,0.0470051043698,0.0,503.4876452225995,503.11972761536265,501.1801949596917,502.2764839659938
0.4200000000000001,-0.00265757148651,-0.00402552233565,10.3161397841,6.26771449382,0.0148073149402,0.0,-0.026815825903,-0.0348367694212,1.46607123038,-0.0464410245871,0.0617948062512,0.0,454.0985756867637,455.28499958524355,454.68365471050254,453.82533346851557
0.48000000000000015,-0.00460304389938,-0.00646274276994,10.4081484155,6.26488589379,0.0187125603696,0.0,-0.0384390235667,-0.0467016552413,1.60069217615,-0.0485858189484,0.0709684019184,0.0,449.517951656464,450.26369857879234,450.0356604441607,449.86073215915206
0.5400000000000001,-0.00739344485027,-0.0097324791005,10.5113519429,6.26198293696,0.0228349130058,0.0,-0.055081233128,-0.0626389870443,1.83905497846,-0.0479794033691,0.0637489634312,0.0,481.6166924214332,481.0735533708404,481.27790249190576,481.3225553905251
0.6000000000000002,-0.0113610031978,-0.0141018792949,10.6321564052,6.25863398048,0.0269413730947,0.0,-0.0777085601098,-0.0834143262339,2.18713775732,-0.0800522877611,0.0764718707164,0.0,511.4137885075182,512.3219596454788,514.874199720274,512.5982622993855
0.6600000000000003,-0.0165986007787,-0.019633085096,10.766407529,6.25371818736,0.0315298066439,0.0,-0.0973410354866,-0.101449537941,2.28767512279,-0.0859748642672,0.0764779335723,0.0,441.80980529459663,441.814966308859,442.17446651489115,441.6808036424467
0.7200000000000003,-0.0231473905798,-0.0263852179136,10.9078705658,6.24869122773,0.0359021897479,0.0,-0.121427478421,-0.124161286194,2.42743652884,-0.0797263440853,0.0644651526352,0.0,454.85120122608436,453.8921274964426,454.4889803826408,454.98391860794294
0.7800000000000004,-0.0311497376591,-0.0345268036647,11.0554040138,6.24357156025,0.0399494660864,0.0,-0.145695119169,-0.147694034467,2.49017450458,-0.0999195860624,0.072845426093,0.0,430.72740510173935,431.43907315105565,431.7546005628022,430.04109939076585
0.8400000000000004,-0.0408516557017,-0.0443466051157,11.2106824905,6.23797113379,0.0441935173032,0.0,-0.178184962396,-0.180283799094,2.68528178434,-0.0826702042731,0.0661393265908,0.0,472.0545335474946,471.5402820524378,472.0712577402096,473.3934231705103
0.9000000000000005,-0.0525439372862,-0.0561902320992,11.3763767373,6.23260246607,0.0484331127179,0.0,-0.211993333065,-0.215046100804,2.837438914,-0.10874722761,0.078436576862,0.0,460.147810392069,461.1238424542604,461.24585182960004,459.1750670995603
0.9600000000000005,-0.0662311445949,-0.0701079386765,11.5485431607,6.22623824189,0.0531450218577,0.0,-0.244694605803,-0.249489995701,2.90121563846,-0.101196212902,0.0787215111539,0.0,433.6906327599096,433.7196557114294,433.40554632746927,434.0295427476548
1.0200000000000005,-0.0819829983121,-0.0862259612976,11.7247109449,6.22021494571,0.0577852625638,0.0,-0.280814798267,-0.288354839893,2.97079212739,-0.0988206827652,0.0744162688276,0.0,436.73326964435734,436.37889195136694,435.4973012652979,435.6870313710612
1.0800000000000005,-0.100117133551,-0.104929506536,11.9071499597,6.21420158218,0.0622561176712,0.0,-0.324117142088,-0.335714216884,3.11005133201,-0.103183073834,0.0747093907504,0.0,458.36595147479517,458.3934043898411,458.6490595981535,458.2941128072387
1.1400000000000006,-0.120818188792,-0.12646293432,12.0958863508,6.20829398642,0.0667572538889,0.0,-0.366345444808,-0.382640180058,3.18087653348,-0.0903852521204,0.0756306032619,0.0,438.0393223791883,438.12042775771795,437.42065287934173,438.4765631034468
1.2000000000000006,-0.144752061144,-0.15160763349,12.2978313166,6.20333133484,0.0714210055685,0.0,-0.432030887707,-0.456161713178,3.54941820707,-0.0706245703124,0.0816246295417,0.0,524.6437709923587,525.0635585554836,525.0368513226239,526.4014792280643
1.2600000000000007,-0.172085826202,-0.180546947164,12.5125441447,6.19890321647,0.0762855067116,0.0,-0.479550035811,-0.508878545293,3.60739650407,-0.0810603704845,0.0799532212152,0.0,437.07435256798897,436.94045520300335,437.60066376254804,436.7266564668375
